,sClass,annotation,sinhala_annotation
0,c001,badhaadha,බදාදා
1,c002,ganna,ගන්න
2,c003,puluwandha,පුලුවන්ද
3,c004,inna,ඉන්න
4,c005,balanna,බලන්න
5,c006,em,එම්
6,c007,oni,ඕනි
7,c008,maarthu,මාර්තු
8,c009,maaru,මාරු
9,c010,salli,සල්ලි
10,c011,thiyenawa,තියෙනවා
11,c012,ou,ඔව්
12,c013,aniwaaren,අනිවාරෙන්
13,c014,paawichchi karanne,පාවිච්චි කරන්නේ
14,c015,kohomadha,කොහොමද
15,c016,mokatadha,මොකටද
16,c017,pebarawaari,පෙබරවාරි
17,c018,es,එස්
18,c019,septhembar,සැප්තැම්බර්
19,c020,sikuraadhaa,සිකුරාදා
20,c021,theerane,තීරනේ
21,c022,kiyanna,කියන්න
22,c023,warge,වර්ගේ
23,c024,mokakdha,මොකක්ද
24,c025,waththala,වත්තල
25,c026,liyanna,ලියන්න
26,c027,weligama,වැලිගම
27,c028,wellawaaya,වැල්ලවාය
28,c029,yaaluwa,යාලුවා
29,c030,langa,ලඟ
30,c031,pirimi,පිරිමි
31,c032,andun,ඇඳුම්
32,c033,kohedha,කොහෙද
33,c034,kolamba,කොළඹ
34,c035,yawanna,යවන්න
35,c036,see,සී
36,c037,akure,අකුරේ
37,c038,itipandhamak,ඉටිපන්දමක්
38,c039,thaaththa,තාත්තා
39,c040,dhenawa,දෙනවා